project_number,bid_total,engineers_estimate,bid_days,start_date
C17788,5544830.55,4544280.8,131.0,2011-05-16
C17791,1045722.5,1032082.0,293.80198551113494,2010-11-01
C17797,2250148.15,2136910.0,62.95756832381464,2016-08-10
C17798,1801733.15,1481946.0,27.981141477250947,2015-07-19
C17800S,11637246.64,11175517.0,181.8774196021312,2014-04-21
C17804,1948284.41,1914397.0,216.85384644869484,2011-07-17
C17807,1573636.13,1434239.0,69.95285369312737,2011-10-19
C17809,961240.05,880757.35,123.11702249990417,2010-12-09
C17811,326847.0,279997.0,47.56794051132661,2011-11-14
C17813,3924793.3,2815509.0,70.0,2011-04-20
C17815,610868.0,660000.0,139.90570738625473,2012-01-09
C17818,14914180.56,12374358.0,153.8962781248802,2013-03-25
C17821,1862250.91,1900059.0,195.86799034075665,2013-01-25
C17823,3560981.47,3465687.0,90.93870980106558,2011-04-01
C17824,2170051.93,1776254.5,55.96228295450189,2011-03-24
C17825,9061742.98,8668527.83,153.8962781248802,2012-06-17
C17826,5382932.32,4376542.15,195.86799034075665,2010-10-12
C17827,3853116.0,3309383.9,97.93399517037832,2012-03-01
C17835,6056391.25,4597637.35,83.94342443175285,2012-12-13
C17837,1179031.75,738347.5,55.0,2010-03-22
C17843,6104051.350000001,5608199.81,160.89156349419295,2011-04-25
C17846,10508954.6,8372878.21,223.8491318180076,2011-03-01
C17847,4502617.44,2659795.8,139.90570738625473,2010-11-05
C17857,727706.7,764450.0,153.8962781248802,2010-09-27
C17860,7307352.970000001,6964798.8,413.0,2011-11-15
C17864,5049293.84,2580581.8,125.91513664762928,2011-07-05
C17866,23548030.09,21482082.5,874.4106711640922,2015-04-27
C17884,3222631.18,2703257.0,97.93399517037832,2011-07-05
C17889,1599690.65,1229055.0,69.95285369312737,2012-08-20
C17890,10677844.0,9058227.15,146.0,2014-05-08
C17891,2896117.08,2835305.65,58.76039710222699,2011-04-14
C17902,1387276.95,1202817.0,55.96228295450189,2011-05-23
C17916,519164.0,305076.0,9.793399517037832,2010-08-17
C17936,548425.1,525279.0,41.97171221587642,2012-08-27
C17938,845909.0,952955.0,97.93399517037832,2010-10-05
C17949,309061.0,278923.2,32.17831269883859,2010-09-27
C17951R-ALT,5998132.59,5568674.5,167.8868488635057,2013-08-05
C17952,2286326.92,2242930.0,111.9245659090038,2010-11-08
C17953,350230.5,300267.75,83.94342443175285,2011-03-21
C17964R,7319885.0,6319808.6,90.93870980106558,2012-03-26
C17969,2703931.07,2595147.8,55.96228295450189,2011-06-21
C17987,6480424.42,5732397.64,139.90570738625473,2012-04-11
C17988,12505176.57,8047174.55,209.8585610793821,2012-04-09
C17999,657872.84,544518.0,83.94342443175285,2011-10-24
C18003,938571.84,1185572.75,83.94342443175285,2011-03-04
C18009,1250824.46,822117.0,41.97171221587642,2011-10-03
C18010,2022945.5,1913506.85,172.08402008509333,2012-04-05
C18012,2797298.0,2048329.0,167.8868488635057,2011-07-18
C18013,4606974.96,3137128.3,349.76426846563686,2012-09-04
