bid_item_code,category,description,unit_of_measure
210-00475,210,Reset Closed Circuit Television Pole,EACH
210-00476,210,Reset Microwave Vehicle Radar Detector (MVRD),EACH
210-00477,210,Reset Weather Station,EACH
210-00478,210,Modify Power Control Board,L S
210-00479,210,Reset Radio Communication  Antenna,EACH
210-00480,210,Pier Restoration,L S
210-00500,210,Rebuild Portions of Present Structure,EACH
210-00510,210,Rebuild Portions of Present Structure,L S
210-00520,210,Rebuild Portions of Present Structure,SY
210-00530,210,Rebuild Portions of Present Structure,SF
210-00610,210,Rebuild Portions of Present Structure (Type 1),SF
210-00620,210,Rebuild Portions of Present Structure (Type 2),SF
210-00650,210,Rebuild Timber Deck,L S
210-00750,210,Reset Light Standard,EACH
210-00755,210,Reset Light Standard Steel High Mast,EACH
210-00760,210,Reset Luminaire,EACH
210-00765,210,Reset Lighting Control,L S
210-00766,210,Reset Lighting Control Center,EACH
210-00770,210,Reset Floodlight,EACH
210-00800,210,Reset Flagger Platform,EACH
210-00804,210,Reset Over Height Vehicle Warning Siren,EACH
210-00805,210,Reset Overhead Sign Structure,EACH
210-00806,210,Reset Over Height Vehicle Detector,EACH
210-00807,210,Reset Over Height Vehicle Blankout Sign,EACH
210-00808,210,Reset Overpass Mounted Sign Bracket,EACH
210-00809,210,Reset Blankout Sign (Fiber Optic),EACH
210-00810,210,Reset Ground Sign,EACH
210-00815,210,Reset Sign Panel,EACH
210-00816,210,Reset Sign Panel (Special),EACH
210-00820,210,Reset Variable Message Sign,EACH
210-00822,210,Portable Message Sign Panel (Reset),EACH
210-00825,210,Reset Flashing Beacon,EACH
210-00827,210,Reset Pull Box,EACH
210-00830,210,Reset Traffic Signal Face,EACH
210-00831,210,Reset Traffic Signal Head,EACH
210-00840,210,Reset Traffic Signal Pole,EACH
210-00842,210,Reset Traffic Signal Mast Arm,EACH
210-00845,210,Reset Traffic Signal Controller,EACH
210-00846,210,Portable Non-Intrusive Traffic Sensor (Reset),EACH
210-00847,210,Reset Travel Time Indicator,EACH
210-00848,210,Reset Traffic Signal Controller and Cabinet,EACH
210-00855,210,Reset Traffic Signal Controller Cabinet,EACH
210-00858,210,Reset Pedestal Pole,EACH
210-00860,210,Reset Pedestrian Push Button,EACH
210-00861,210,Reset Wiring,L S
210-00865,210,Reset Pedestrian Signal Head,EACH
210-00866,210,Reset Fire Preemption Unit and Timer,EACH
210-00867,210,Reset Fire Preemption Unit,EACH
210-00870,210,Reset Coordination Unit,EACH
210-00873,210,Reset Tone Decoder,EACH
210-00875,210,Reset Surface Condition Analyser,EACH
210-00880,210,Reset Traffic Signal Vehicle Detector Amplifier,EACH
210-00882,210,Reset Traffic Signal Vehicle Detector,EACH
210-00885,210,Reset Loop Detector (Micro Type),EACH
210-00890,210,Reset Intersection Detection System (Camera),EACH
210-00891,210,Reset Photometer,EACH
210-00892,210,Portable Pan-Tilt-Zoom Camera (Reset),EACH
210-00900,210,Reset Traffic Counter (Temp),EACH
210-00910,210,Reset Traffic Counter (Permanent),EACH
210-01000,210,Reset Fence,LF
210-01001,210,Modify Fence,LF
210-01005,210,Reset Fence Post,EACH
210-01010,210,Reset Gate Post,EACH
210-01011,210,Reset Gate,EACH
210-01025,210,Reset Snow Fence,LF
210-01050,210,Reset Chain Link Fence,LF
210-01100,210,Reset Glare Screen,LF
210-01130,210,Reset Guardrail Type 3,LF
210-01131,210,Reset Guardrail Type 3 (Special)(2 Foot),LF
210-01132,210,Reset Guardrail Type 3 (Special)(1 Foot),LF
210-01135,210,Reset Guardrail Thrie Beam,LF
210-01136,210,Reset Guardrail Type 3 (Double),LF
210-01140,210,Reset Guardrail Type 4,LF
210-01150,210,Reset Guardrail Type 5,LF
210-01160,210,Reset Guardrail Type 6,LF
210-01170,210,Reset Guardrail Type 7,LF
210-01180,210,Reset Guardrail (Special),LF
210-01190,210,Reset Tensioned Cable Barrier,LF
210-01200,210,Reset End Anchorage,EACH
210-01300,210,Reset Impact Attenuator,EACH
210-01700,210,Reset Sprinkler Head,EACH
210-01710,210,Reset Valve,EACH
210-01720,210,Reset Air Vent,EACH
