bid_item_code,category,description,unit_of_measure
624-40019,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40021,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40022,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40024,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40025,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40027,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40028,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40030,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40031,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40036,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40037,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40042,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40043,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40048,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40049,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40054,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40055,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40060,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40061,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40066,624,66 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40067,624,66 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40072,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40073,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40078,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40079,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40084,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40085,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40090,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40091,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40096,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40097,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Compl,LF
624-40102,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40103,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Comp,LF
624-40108,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 0),LF
624-40109,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 0) (Comp,LF
624-41018,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41019,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41021,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41022,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41024,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41025,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41027,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41028,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41030,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41031,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41036,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41037,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41042,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41043,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41048,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41049,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41054,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41055,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41060,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41061,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41066,624,66 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41067,624,66 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41072,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41073,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41078,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41079,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41084,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41085,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41090,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41091,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41096,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41097,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Compl,LF
624-41102,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41103,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Comp,LF
624-41108,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 1),LF
624-41109,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 1) (Comp,LF
624-42018,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42019,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42021,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42022,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42024,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42025,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42027,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42028,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42030,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42031,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42036,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42037,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42042,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42043,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42048,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42049,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42054,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42055,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42060,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42061,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42066,624,66 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42072,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42073,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42078,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42079,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42084,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42085,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42090,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42091,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 2) Comple,LF
624-42096,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42097,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Compl,LF
624-42102,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42103,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Comp,LF
624-42108,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 2),LF
624-42109,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 2) (Comp,LF
624-43018,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43019,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43021,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43022,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43024,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43025,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43027,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43028,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43030,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43031,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43036,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43037,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43042,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43043,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43048,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43049,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43054,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43055,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43060,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43061,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43066,624,66 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43067,624,66 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43072,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43073,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43078,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43079,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43084,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43085,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43090,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43091,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43096,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43097,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Compl,LF
624-43102,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43103,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Comp,LF
624-43108,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 3),LF
624-43109,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 3) (Comp,LF
624-44018,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44019,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44021,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44022,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44024,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44025,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44027,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44028,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44030,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44031,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44036,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44037,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44042,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44043,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44048,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44049,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44054,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44055,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44060,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44061,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44066,624,66 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44072,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44073,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44078,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44079,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44084,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44085,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44090,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44091,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44096,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44097,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Compl,LF
624-44102,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44103,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Comp,LF
624-44108,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 4),LF
624-44109,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 4) (Comp,LF
624-45018,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45019,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45021,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45022,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45024,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45025,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45027,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45028,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45030,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45031,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45036,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45037,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45042,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45043,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45048,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45049,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45054,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45055,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45060,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45061,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45066,624,66 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45072,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45073,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45078,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45079,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45084,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45085,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45090,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45091,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45096,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45097,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Compl,LF
624-45102,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45103,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Comp,LF
624-45108,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 5),LF
624-45109,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 5) (Comp,LF
624-46018,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46019,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46021,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46022,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46024,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46025,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46027,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46028,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46030,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46031,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46036,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46037,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46042,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46043,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46048,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46049,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46054,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46055,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46060,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46061,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46066,624,66 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46072,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46073,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46078,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46079,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46084,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46085,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46090,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46091,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46094,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46097,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Compl,LF
624-46102,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46103,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Comp,LF
624-46108,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 6),LF
624-46109,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 6) (Comp,LF
624-47018,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47019,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47021,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47022,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47024,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47025,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47027,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47028,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47030,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47031,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47036,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47037,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47042,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47043,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47048,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47049,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47054,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47055,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47060,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47061,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47066,624,66 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47067,624,66 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47072,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47073,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47078,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47079,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47084,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47085,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47090,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47091,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47096,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47097,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Compl,LF
624-47102,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47103,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Comp,LF
624-47108,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 7),LF
624-47109,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 7) (Comp,LF
624-48018,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48019,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48021,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48022,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48024,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48025,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48027,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48028,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48030,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48031,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48036,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48037,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48042,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48043,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48048,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48049,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48054,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48055,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48060,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48061,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48066,624,66 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48072,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48073,624,72 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48078,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48079,624,78 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48084,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48085,624,84 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48090,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48091,624,90 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48096,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48097,624,96 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Compl,LF
624-48102,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48103,624,102 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Comp,LF
624-48108,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 8),LF
624-48109,624,108 Inch Equivalent Drainage Pipe Elliptical (Class 8) (Comp,LF
624-49018,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 9),LF
624-49019,624,18 Inch Equivalent Drainage Pipe Elliptical (Class 9)  (Comp,LF
624-49021,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 9),LF
624-49022,624,21 Inch Equivalent Drainage Pipe Elliptical (Class 9) (Compl,LF
624-49024,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 9),LF
624-49025,624,24 Inch Equivalent Drainage Pipe Elliptical (Class 9) (Compl,LF
624-49027,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 9),LF
624-49028,624,27 Inch Equivalent Drainage Pipe Elliptical (Class 9) (Compl,LF
624-49030,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 9),LF
624-49031,624,30 Inch Equivalent Drainage Pipe Elliptical (Class 9) (Compl,LF
624-49036,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 9),LF
624-49037,624,36 Inch Equivalent Drainage Pipe Elliptical (Class 9) (Compl,LF
624-49042,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 9),LF
624-49043,624,42 Inch Equivalent Drainage Pipe Elliptical (Class 9) (Compl,LF
624-49048,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 9),LF
624-49049,624,48 Inch Equivalent Drainage Pipe Elliptical (Class 9) (Compl,LF
624-49054,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 9),LF
624-49055,624,54 Inch Equivalent Drainage Pipe Elliptical (Class 9) (Compl,LF
624-49060,624,60 Inch Equivalent Drainage Pipe Elliptical (Class 9),LF
